index,originId,destId,count,delaycount
995,10980,14112,116,49
996,10980,14761,110,48
997,10990,10397,1123,153
998,10990,11057,63,2
999,10990,12953,1381,248
1000,10990,13930,636,116
1001,10994,10397,2790,400
1002,10994,10423,151,43
1003,10994,10693,747,136
1004,10994,10721,1259,374
1005,10994,10821,1249,230
1006,10994,11042,50,15
1007,10994,11057,2821,558
1008,10994,11193,114,21
1009,10994,11259,322,73
1010,10994,11278,1764,298
1011,10994,11292,703,142
1012,10994,11298,1243,321
1013,10994,11433,623,142
1014,10994,11618,1425,213
1015,10994,11697,636,166
1016,10994,12191,231,41
1017,10994,12197,179,23
1018,10994,12264,724,61
1019,10994,12266,361,89
1020,10994,12339,24,4
1021,10994,12478,1732,381
1022,10994,12889,137,49
1023,10994,12917,20,10
1024,10994,12953,1636,328
1025,10994,13232,462,75
1026,10994,13303,790,170
1027,10994,13487,273,60
1028,10994,13930,1357,168
1029,10994,14100,1375,274
1030,10994,14122,48,14
1031,10994,14635,20,7
1032,10994,14747,350,70
1033,10994,15016,34,10
1034,10994,15304,44,12
1035,11003,10397,368,52
1036,11003,10466,204,25
1037,11003,10693,88,18
1038,11003,11057,559,124
1039,11003,11278,544,113
1040,11003,11292,1123,180
1041,11003,11298,998,303
1042,11003,11697,78,16
1043,11003,12889,116,17
1044,11003,12892,23,6
1045,11003,13204,15,6
1046,11003,13303,21,4
1047,11003,13487,814,143
1048,11003,13930,2078,416
1049,11003,14082,152,35
1050,11003,14107,632,112
1051,11003,14112,149,32
1052,11003,14761,139,36
1053,11003,14986,31,6
1054,11013,11433,364,87
1055,11013,13487,364,63
1056,11027,13577,22,12
1057,11027,14112,57,9
1058,11027,14761,117,49
1059,11027,15624,11,6
1060,11042,10397,3007,544
1061,11042,10423,111,33
1062,11042,10693,759,131
1063,11042,10721,1712,281
1064,11042,10821,999,155
1065,11042,10994,51,15
1066,11042,11057,1888,425
1067,11042,11278,1414,220
1068,11042,11292,1860,304
1069,11042,11298,1677,407
1070,11042,11433,1477,240
1071,11042,11618,1938,344
1072,11042,11697,1049,148
1073,11042,12264,577,40
1074,11042,12266,1246,145
1075,11042,12451,46,10
1076,11042,12478,1795,296
1077,11042,12889,911,276
1078,11042,12892,708,98
1079,11042,12953,2782,464
1080,11042,13204,2043,562
1081,11042,13232,1172,214
1082,11042,13303,664,150
1083,11042,13487,1291,234
1084,11042,13495,42,15
1085,11042,13577,183,38
1086,11042,13930,2920,387
1088,11042,14100,1241,274
1089,11042,14107,873,211
1090,11042,14122,39,10
1091,11042,14193,36,9
1092,11042,14492,212,45
1093,11042,14635,1093,221
1094,11042,14685,40,7
1095,11042,14747,439,88
1096,11042,14771,470,53
1097,11042,14843,203,53
1098,11042,14869,106,36
1099,11042,14986,270,98
1100,11042,15016,705,133
1101,11042,15304,1055,295
1102,11049,11298,1118,226
1103,11057,10135,1166,252
1104,11057,10154,11,2
1105,11057,10208,1023,275
1106,11057,10257,1206,353
1107,11057,10397,5364,1170
1108,11057,10408,365,113
1109,11057,10423,1911,582
1110,11057,10431,2112,503
1111,11057,10434,1064,317
1112,11057,10529,1873,594
1113,11057,10581,224,46
1114,11057,10599,2276,467
1115,11057,10693,3675,1023
1116,11057,10721,5210,1379
1117,11057,10781,957,223
1118,11057,10785,727,171
1119,11057,10792,1270,377
1120,11057,10821,3324,1127
1121,11057,10849,12,3
1122,11057,10868,1246,296
1123,11057,10874,1287,354
