origin,delayed,cancelled,total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
PRC,149,4,731,36,16,14,12,9,10,7,8,2,2,5,3,5,0,1,19
PSC,670,25,5233,233,115,72,50,42,36,23,17,11,11,5,4,11,5,2,33
PSE,179,21,945,43,34,24,22,11,5,7,8,3,5,1,4,1,3,3,5
PSG,95,11,726,32,23,13,4,8,2,2,2,1,0,0,1,1,1,3,2
PSM,68,8,373,15,11,9,5,4,2,5,0,2,2,1,4,1,0,3,4
PSP,2358,139,13807,780,466,302,189,132,99,73,58,54,37,29,23,20,9,6,81
PVD,2493,172,14850,844,411,266,188,154,94,79,64,47,48,38,22,24,26,18,170
PVU,353,13,2187,89,56,49,29,20,19,13,8,7,3,9,0,2,3,5,41
PWM,1994,252,11674,654,340,226,143,109,82,62,52,43,28,30,25,23,19,14,144
RAP,863,62,5233,266,141,97,65,52,38,29,27,23,14,13,5,19,12,8,54
RDD,204,7,1487,66,33,25,9,8,8,9,7,4,3,3,5,3,3,1,17
RDM,1038,111,5916,291,196,115,84,55,49,36,41,21,12,16,10,6,9,3,94
RDU,11747,924,61316,3813,2066,1362,918,646,513,417,317,251,225,160,163,128,119,89,560
RFD,188,14,841,56,35,18,16,16,4,4,3,3,4,3,2,2,3,1,18
RHI,142,7,827,41,18,24,10,10,8,5,5,2,2,2,2,0,1,2,10
RIC,3448,249,18279,1163,625,413,269,184,146,98,79,68,51,47,46,33,29,27,170
RIW,67,11,622,20,6,2,4,2,1,1,1,5,1,3,3,0,1,1,16
RKS,67,7,623,12,7,3,2,3,0,2,3,3,2,2,2,4,2,1,19
RNO,3625,177,20913,1258,660,407,287,189,159,124,100,66,55,48,38,40,23,18,153
ROA,558,67,2944,185,100,55,30,32,22,11,19,7,15,14,4,10,8,4,42
ROC,2171,206,11936,807,353,210,167,123,77,61,52,51,39,31,18,29,17,16,120
ROW,204,26,963,45,32,23,15,9,12,6,3,9,7,1,1,4,4,3,30
RST,242,13,1416,72,38,21,18,14,15,7,8,8,4,6,2,1,3,6,19
RSW,6965,803,34871,2147,1168,830,569,430,303,270,187,149,120,104,89,87,76,54,382
SAF,541,44,2908,125,78,66,54,40,21,22,17,18,18,14,12,9,6,3,38
SAN,20450,1211,94645,7299,3988,2546,1677,1146,820,586,441,312,279,208,194,121,112,78,643
SAT,7604,486,41613,2709,1370,809,579,385,296,261,170,154,122,105,87,66,59,55,377
SAV,3560,275,19120,1277,626,399,245,183,127,106,99,80,66,38,36,41,24,16,197
SBA,1232,110,7493,382,220,117,84,68,46,48,36,27,23,18,22,13,14,22,92
SBN,1378,101,6685,408,219,141,97,76,67,70,41,35,29,22,18,25,17,13,100
SBP,812,52,5244,211,148,87,62,53,49,29,24,19,24,13,13,7,6,1,66
SCC,54,18,570,19,6,9,7,0,2,2,2,0,1,1,2,0,1,0,2
SCE,111,10,575,27,15,13,17,8,2,4,5,2,2,2,3,0,2,1,8
SCK,177,2,515,54,42,24,11,6,13,4,2,2,3,4,2,1,1,2,6
SDF,3879,259,24122,1281,705,431,304,224,146,136,112,95,62,60,57,34,30,19,183
SEA,33269,1813,163724,13942,7059,3868,2354,1534,1022,797,588,415,322,228,177,148,116,94,605
SFB,2167,156,9499,740,397,247,183,124,95,71,61,50,32,15,25,21,17,12,77
SFO,31099,1793,134978,10319,5955,3868,2577,1860,1435,1048,807,601,482,397,264,237,152,141,956
SGF,1988,108,9280,673,315,204,128,119,72,66,59,51,46,33,30,29,18,15,130
SGU,323,9,3023,82,65,33,27,17,16,9,5,4,8,5,6,2,2,6,36
SHR,59,14,730,13,6,7,4,5,0,3,4,0,2,0,1,0,2,2,10
SHV,782,89,4491,226,144,88,59,53,27,27,11,14,19,12,16,12,8,7,59
SIT,190,24,1421,60,49,22,10,7,7,8,5,2,1,1,3,3,1,0,11
SJC,7825,339,50392,3092,1563,893,604,427,312,219,157,112,85,72,55,40,32,26,136
SJT,185,22,1089,53,32,17,16,16,12,5,3,2,1,2,2,5,1,3,15
SJU,8537,439,35431,2695,1605,973,667,488,335,291,218,183,140,117,83,98,72,64,508
SLC,18745,706,113247,6636,3473,2193,1529,985,816,564,441,360,253,202,198,161,119,82,733
SLN,119,16,712,24,17,9,16,8,9,3,6,2,2,3,2,2,0,2,14
SMF,9633,398,55052,3746,1893,1110,754,484,367,297,194,136,127,102,70,53,32,28,240
SMX,33,NA,NA,4,4,3,3,2,4,3,1,0,1,2,0,1,1,1,3
SNA,7840,404,43519,2761,1492,978,621,439,292,241,167,149,107,93,77,48,45,30,300
